Космическая плазма — сводка результатов
======================================================================

Порядок схемы Эйлера: p_y ≈ 0.990, p_w ≈ 1.000 (теория: 1)

   i   i%4  модель                                цель              MSE_test   rel_RMSE,%
   0     0  Линейная регрессия                    E(R), В/м       5.6205e+07       85.454
   1     1  Перцептрон, активация tanh            H(0), А/м       4.9178e+03       21.103
   2     2  Нейросеть, активация ReLU             E(R), В/м       3.0927e+05        3.490
   3     3  Нейросеть, активация ELU              H(0), А/м       6.3080e+02        9.764
  16     0  Линейная регрессия                    E(R), В/м       6.4191e+08       86.053


Бенчмарк: RMSE vs размер обучающей выборки
======================================================================
 i%4       N            RMSE   rel_RMSE,%
   0      64      6.1952e+03       63.103
   0     128      6.2506e+03       63.667
   0     256      6.2565e+03       63.727
   0     512      6.2211e+03       63.367
   0    1024      6.1915e+03       63.066
   0    2048      6.1624e+03       62.769
   1      64      1.1880e+02       43.560
   1     128      8.9997e+01       33.000
   1     256      5.3005e+01       19.436
   1     512      4.0550e+01       14.869
   1    1024      2.6702e+01        9.791
   1    2048      2.0130e+01        7.381
   2      64      8.1029e+03       63.936
   2     128      4.9924e+03       39.393
   2     256      3.1257e+03       24.664
   2     512      1.5162e+03       11.964
   2    1024      1.2377e+03        9.767
   2    2048      6.6255e+02        5.228
   3      64      1.1042e+02       48.386
   3     128      7.4183e+01       32.507
   3     256      4.2832e+01       18.769
   3     512      2.9402e+01       12.884
   3    1024      1.3930e+01        6.104
   3    2048      1.5811e+01        6.928
  16      64      2.0232e+04       78.874
  16     128      2.0518e+04       79.989
  16     256      2.0519e+04       79.991
  16     512      2.0463e+04       79.774
  16    1024      2.0235e+04       78.883
  16    2048      2.0198e+04       78.739
